symbol,chg_corr,chg_t,lvl_corr,lvl_coint_p,n,rank_chg,rank_lvl_coint
CHWY,-0.009977391052138877,-0.09144885137280763,-0.2750696934132963,0.45651152897740466,86,608,917.0
LKQ,-0.010308228782970037,-0.09448149727326183,0.6452866642834145,0.03656602198765876,86,609,72.0
TGT,-0.010995550294399449,-0.1007819756252871,0.047624552672764206,0.5810195251160899,86,610,1210.0
LC,-0.011226292304529545,-0.10289715276822607,-0.49048025105681237,0.3508946511308136,86,611,725.0
NEOG,-0.011591249905369395,-0.10624269764977498,-0.12214319687853481,0.5592301816332443,86,612,1123.0
BNL,-0.011756545103556278,-0.10775796291006652,-0.4907461317570225,0.35311121016072056,86,613,733.0
ABR,-0.011967034009902117,-0.10968753284066252,-0.08882384797139461,0.5433552264199474,86,614,1081.0
SSNC,-0.01227759408086689,-0.11253449046076613,-0.6348364396598296,0.2233615794767586,86,615,470.0
GEN,-0.012486769967260015,-0.11445206011842822,-0.3908149271376857,0.3706104737649242,86,616,775.0
LITE,-0.012780913652652864,-0.11714857713149515,-0.022909103829485456,0.5714221110331745,86,617,1165.0
GT,-0.01293324759398483,-0.11854508702946992,0.7864193014648886,0.04579521314742908,86,618,88.0
TWLO,-0.013011732273582134,-0.11926459261621179,-0.5902685727149657,0.08775549979382058,86,619,180.0
CF,-0.013090889926074697,-0.11999026989188098,-0.801760015483375,0.009116606486066884,86,620,20.0
COP,-0.013099346507752933,-0.12006779568377979,0.5701643342936892,0.09513718256272258,86,621,194.0
BYD,-0.013213148799008012,-0.12111108177027755,-0.38351244715624416,0.39692662947043966,86,622,815.0
DE,-0.013578665563750484,-0.12446200025537098,-0.25924424758734715,0.4634061306543832,86,623,928.0
DK,-0.014331804653869133,-0.13136665143233814,0.587904988720584,0.16503347683875352,86,624,342.0
ADM,-0.01436691959590259,-0.13168858461814334,0.7355075162255245,0.008215728377539509,86,625,18.0
WOLF,-0.014699523316485556,-0.13473791415536446,0.716582903334876,0.13110544291385168,86,626,282.0
SW,-0.01788813084406621,-0.13507403880658056,0.4231620665751918,0.7729616038397527,59,627,1297.0
BANC,-0.014935055066606676,-0.13689730942782663,-0.3240619878743207,0.4006060433794345,86,628,822.0
MGY,-0.014958100007549607,-0.13710859059677663,0.5198989407971838,0.2640163551280259,86,629,554.0
HBM,-0.015157769309012506,-0.1389392125631104,0.5124804155051743,0.414151849830775,86,630,845.0
TXG,-0.015198329881679814,-0.1393110848488499,-0.6578129650056764,0.02267828782261071,86,631,45.0
OLN,-0.015226891935187847,-0.13957295129110997,0.5499844573262374,0.32242288939720876,86,632,677.0
AEG,-0.015284231479992746,-0.14009866041354516,0.31957574971155195,0.4591931811044687,86,633,923.0
MOS,-0.015758258102827293,-0.1444447567231181,0.5028635555751386,0.36736849632000035,86,634,768.0
ON,-0.015773316358395597,-0.14458281938716808,0.12317567439585615,0.6251497403891054,86,635,1268.0
AZEK,-0.015914254027012645,-0.1458750209926482,0.13033561780022743,0.5875764941302806,86,636,1232.0
TDOC,-0.016348733179812273,-0.14985864315439168,0.580909514234881,0.29448277905143644,86,637,622.0
UPST,-0.016363848713280445,-0.14999723491906997,-0.6881684361278315,0.1216869520382054,86,638,253.0
ROL,-0.016743885317372188,-0.1534817601935098,-0.1371707103428485,0.5433656515248856,86,639,1082.0
OVV,-0.01691997405257275,-0.1550963262107345,0.7102778230896404,0.11967695884907709,86,640,250.0
GFI,-0.016952299892759353,-0.15539272494603465,0.26743140355405753,0.4973308958428097,86,641,996.0
BJ,-0.01720019654260244,-0.15766572942210302,0.7105420654755404,0.060386274154611605,86,642,120.0
VIK,-0.01740564456639634,-0.1595495376025522,0.09624925545156796,0.5637591973213443,86,643,1137.0
KR,-0.017482372690212494,-0.1602530835759127,-0.3721250839482521,0.3680981048596409,86,644,770.0
VALE,-0.018419503816279565,-0.1688461863415547,0.4998417629921302,0.3966803122937369,86,645,814.0
WRBY,-0.018979666115866486,-0.17398285282819825,0.6086221016909228,0.20751678667988704,86,646,437.0
EXC,-0.01912163316099548,-0.17528471094784587,-0.7454313204100473,0.08735566322904842,86,647,178.0
PBR,-0.019396283897332233,-0.17780332768026003,-0.0028430341948931467,0.5764102946838643,86,648,1183.0
CHRW,-0.020021755933461113,-0.18353921565746256,-0.7532437843523835,0.07652221912875361,86,649,149.0
RES,-0.02002831321094631,-0.1835993502658422,-0.12637723312315707,0.5398410768530357,86,650,1072.0
QSR,-0.020141343527406937,-0.1846359173935347,0.15709850228568445,0.6769268829401386,86,651,1287.0
HLF,-0.020154056228211273,-0.18475250220165249,0.7801331039068586,0.24337042069065973,86,652,524.0
EYE,-0.020273880363888077,-0.1858513819893298,0.6170427567153866,0.18284840125880575,86,653,382.0
CTRA,-0.020572991452501806,-0.18859449654910476,0.724170919229457,0.0981006779302952,86,654,198.0
AER,-0.020819683134896617,-0.19085691664848867,0.07914024848743963,0.5658491178036413,86,655,1144.0
PPC,-0.02086527127759999,-0.19127501128448834,-0.5824397110560254,0.27258902352540015,86,656,583.0
IEP,-0.021115902001049448,-0.19357359881139746,0.5384822908719746,0.3211491725369688,86,657,672.0
PEGA,-0.021326134602552355,-0.19550171473264033,-0.6566811187516766,0.13442028082944213,86,658,288.0
CPRT,-0.021506831741206066,-0.19715897143048486,0.5654221449577264,0.17692307800270607,86,659,364.0
ARCO,-0.02168028446510567,-0.19874980444490525,0.38186097330314517,0.39703431059012995,86,660,816.0
WT,-0.022121939830722484,-0.20280055695051735,0.33467900774712567,0.43631418580107867,86,661,882.0
WPC,-0.02231665829762123,-0.2045865035987133,-0.43219373126123106,0.3836625933937589,86,662,794.0
BA,-0.022481667993493378,-0.20609998132323112,0.6872213840103774,0.07555156960158597,86,663,146.0
CAVA,-0.02254220409345832,-0.20665522587704083,-0.6097884221255742,0.23564071630167482,86,664,508.0
