k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,ticker,bar_freq
-6,y_leads_x,0.016248917074361793,15.897539525805064,6.590272794563489e-57,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
-5,y_leads_x,0.0043643513515175736,1.4293494625489214,0.15290381610158846,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
-4,y_leads_x,-0.0053700629255816965,-3.1061833243874766,0.0018951918101427288,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
-3,y_leads_x,-0.006900787286037711,-2.7880492069217984,0.005302648884959424,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
-2,y_leads_x,-0.018548401612406278,-13.62028644685651,3.03375484623101e-42,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
-1,y_leads_x,-0.04293947785209834,-9.748017869399346,1.881050397453061e-22,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
1,x_leads_y,-0.043566837388660164,-8.622655639287652,6.541895910627822e-18,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
2,x_leads_y,-0.017548512429266354,-9.857724037936636,6.347178217503369e-23,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
3,x_leads_y,-0.00852561410347191,-1.832653289886754,0.06685414783170109,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
4,x_leads_y,-0.0076379695803383526,-0.738099599409151,0.4604539271791178,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
5,x_leads_y,0.0014953173469969638,0.1867681558814562,0.8518424154709804,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
6,x_leads_y,0.014395049142695992,11.676026452273453,1.690132069538856e-31,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
7,x_leads_y,0.010359959636410856,0.8538236554767349,0.39320270540746693,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
8,x_leads_y,-0.002473668553216707,-0.17862225859863823,0.858234315734871,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
9,x_leads_y,-0.00761452629830334,-0.7575156712035542,0.4487409807781725,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
10,x_leads_y,-0.0044984480344462275,-1.7518687020670394,0.07979638738036887,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
-1,y_leads_x,-0.017147745444650055,-1.319255929315474,0.18708356592045006,0.41481385510695357,26,8,1,16,medium,KXAAAGASM-24NOV30-US-3.30,600s
1,x_leads_y,-0.018095724483682317,-1.9056734776315551,0.0566925824217577,0.41481385510695357,26,8,1,16,medium,KXAAAGASM-24NOV30-US-3.30,600s
-10,y_leads_x,0.011704425311233686,1.3673697015559216,0.1715094542047253,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
-9,y_leads_x,0.01581521669370809,1.329775528114227,0.18359224121030393,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
-8,y_leads_x,0.033706568894090114,0.9423756085802558,0.3460003705499467,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
-7,y_leads_x,0.036946657984623855,0.7915523607841276,0.42862173393696246,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
-6,y_leads_x,0.04785889953959439,2.4396886879959667,0.014699923641143923,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
