k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,p_joint_x_leads_y,p_joint_y_leads_x,ticker,bar_freq
9,x_leads_y,-0.009192756852296138,-0.8145270040959768,0.4153431087423006,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
10,x_leads_y,-0.005994479965276351,-1.8325824854465702,0.0668646847613914,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-1,y_leads_x,-0.017147745444650055,-1.319255929315474,0.18708356592045006,0.41481385510695357,26,8,1,16,medium,0.056692582421757634,0.18708356592044612,KXAAAGASM-24NOV30-US-3.30,600s
1,x_leads_y,-0.018095724483682317,-1.9056734776315551,0.0566925824217577,0.41481385510695357,26,8,1,16,medium,0.056692582421757634,0.18708356592044612,KXAAAGASM-24NOV30-US-3.30,600s
-10,y_leads_x,0.011704425311233686,1.3673697015559216,0.1715094542047253,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-9,y_leads_x,0.01581521669370809,1.329775528114227,0.18359224121030393,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-8,y_leads_x,0.033706568894090114,0.9423756085802558,0.3460003705499467,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-7,y_leads_x,0.036946657984623855,0.7915523607841276,0.42862173393696246,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-6,y_leads_x,0.04785889953959439,2.4396886879959667,0.014699923641143923,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-5,y_leads_x,0.03720429134995343,1.9716627740099437,0.04864811592174519,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-4,y_leads_x,0.01343996547901079,2.9517144854875004,0.003160149855729529,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-3,y_leads_x,-0.009040857648785608,-1.3359395144143091,0.18156904410515629,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-2,y_leads_x,-0.04146168488810515,-1.8622365626230408,0.06256975284963341,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-1,y_leads_x,-0.05485047964211739,-2.7972385513370575,0.005154146275950836,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
1,x_leads_y,-0.056268823443820025,-44.70419784520018,0.0,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
2,x_leads_y,-0.0433540271982481,-8.358701131479021,6.34125313147014e-17,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
3,x_leads_y,-0.01054848479698522,-0.7523426945308431,0.45184499881713924,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
4,x_leads_y,0.010736792130622456,0.5059166457464357,0.6129151663185641,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
5,x_leads_y,0.03593563191237281,2.0450467120493157,0.04085025306888918,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
6,x_leads_y,0.04654574501078648,4.049398087293347,5.134953312697487e-05,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
7,x_leads_y,0.03696020589683527,8.426338546975524,3.566493397570854e-17,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
8,x_leads_y,0.034309699529575716,20.90265358722023,5.064965184938163e-97,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
9,x_leads_y,0.015924319340823372,5.970157052789351,2.3702531188778385e-09,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
10,x_leads_y,0.01245769142330428,2.4998812089050917,0.012423495681987536,0.6449250322361266,76,2,10,54,high,0.3629530785097781,0.1928408268566274,KXECDJT316,600s
-10,y_leads_x,0.009994074414412623,1.7813458588945779,0.07485596709991668,0.6408980913868204,98,7,10,71,high,0.0,0.0,KXECDJT316,600s
-9,y_leads_x,0.013456224190893465,1.8059720915162698,0.07092269902006061,0.6408980913868204,98,7,10,71,high,0.0,0.0,KXECDJT316,600s
-8,y_leads_x,0.028520928904633015,1.2463309155299935,0.21264293243442112,0.6408980913868204,98,7,10,71,high,0.0,0.0,KXECDJT316,600s
-7,y_leads_x,0.03129287312221522,1.0453388532327115,0.29586638653313246,0.6408980913868204,98,7,10,71,high,0.0,0.0,KXECDJT316,600s
