direction,cause_col,effect_col,k,coef,t_stat,p_value,p_granger,r_squared,n_obs,n_days,k_used,n_ylags,dof,cov_type,reliability_tier,x_etf,y_etf,bar_freq
y_to_x,ret_y,ret_x,9,1.0338317410436885e-06,0.8675443840122901,0.3856438041433815,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,10,4.473316504003628e-07,0.6118770373671383,0.5406191152060801,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,1,4.786154511162349e-06,7.531627761707437,5.01116454744921e-14,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
x_to_y,ret_x,ret_y,2,-1.588775506712141e-06,-1.8038563087889674,0.0712538358059257,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
x_to_y,ret_x,ret_y,3,3.6475884319268737e-07,0.4697634896886227,0.6385240019013008,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
x_to_y,ret_x,ret_y,4,-1.427442657949586e-06,-1.5482684443365828,0.1215576785477886,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
x_to_y,ret_x,ret_y,5,1.9387725140000754e-06,2.6539862110950985,0.007954707741089213,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
x_to_y,ret_x,ret_y,6,-1.8270005477511236e-07,-0.2374747059880974,0.812288539726471,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
x_to_y,ret_x,ret_y,7,-1.0025479261506399e-06,-2.205515440913518,0.027417945486610217,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
x_to_y,ret_x,ret_y,8,5.82617901980893e-07,0.9475330784174272,0.34336720885208916,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
x_to_y,ret_x,ret_y,9,1.0117895951226142e-06,0.9041303153899637,0.3659263052172623,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
x_to_y,ret_x,ret_y,10,1.2196717852624205e-06,2.351596753975464,0.018693027427037122,0.0,0.04159635445671572,58376,15,10,2,58349,cluster_by_day,high,VIS,VOX,5s
y_to_x,ret_y,ret_x,1,1.5683042043332915e-05,5.4494102259287605,5.053712473275536e-08,4.305465135594091e-56,0.12371504527749166,58376,15,10,4,58347,cluster_by_day,high,VIS,VOX,5s
y_to_x,ret_y,ret_x,2,-2.2306567201186077e-06,-3.135162902897788,0.0017175870328073571,4.305465135594091e-56,0.12371504527749166,58376,15,10,4,58347,cluster_by_day,high,VIS,VOX,5s
y_to_x,ret_y,ret_x,3,9.197263183049088e-07,1.032037587650847,0.30205450951240964,4.305465135594091e-56,0.12371504527749166,58376,15,10,4,58347,cluster_by_day,high,VIS,VOX,5s
y_to_x,ret_y,ret_x,4,-1.9705263889074984e-06,-3.614595080828745,0.00030081740466034824,4.305465135594091e-56,0.12371504527749166,58376,15,10,4,58347,cluster_by_day,high,VIS,VOX,5s
