k_lag,direction,beta,z_stat,p_value,pseudo_r2,n_obs,n_up,mode,bar,K_chosen,n_total,group,etf,n_members,p_fdr
6,kalshi_leads_etf,-0.08041762772847395,-1.4999962784230811,0.1336153665597961,0.003331918144794166,122,72,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.28393265393956674
7,kalshi_leads_etf,-0.05165212164911144,-0.5648227875190742,0.5721943058707619,0.0010833030059832494,109,64,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.6079564499876845
8,kalshi_leads_etf,-0.025636837656461093,-0.731788312842455,0.4642977835421811,0.0002755619810667076,97,56,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.6079564499876845
-8,etf_leads_kalshi,-0.13083774849319085,-13.714633000301127,8.298521963099749e-43,0.006629565667876092,235,137,event,30s,8,391,ELECTION_trump_fav,VCR,6,1.4107487337269574e-41
-7,etf_leads_kalshi,0.06134675756523108,0.868936751435347,0.384881726423439,0.0014136568256404303,249,145,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.5948172135634966
-6,etf_leads_kalshi,0.06066920363345001,0.8908824017935016,0.3729922622557379,0.0013029238582676905,263,150,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.5948172135634966
-5,etf_leads_kalshi,0.018487298805991082,0.3595053300529604,0.7192170911679109,0.00011693366403753291,277,160,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.8151127033236324
-4,etf_leads_kalshi,-0.1567686954750973,-5.530358348895536,3.195772693634816e-08,0.007995705162585076,293,168,event,30s,8,391,ELECTION_trump_fav,VCR,6,1.3582033947947967e-07
-3,etf_leads_kalshi,-0.02046790483629696,-0.6171838150202434,0.5371134899273844,0.00015601075127547048,312,176,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.7023791791358104
-2,etf_leads_kalshi,0.056285579399988545,2.3448836081782107,0.019033020108515382,0.001274508828398524,332,186,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.04622304883496593
-1,etf_leads_kalshi,-0.03539290270035852,-2.1061703270097314,0.035189559683668166,0.0005523693825505438,357,201,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.07477781432779486
0,contemp,0.07621590374156229,3.3728354753567014,0.0007439839317876636,0.0026877091561434696,386,216,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.00210795447339838
1,kalshi_leads_etf,0.014724851047212386,0.4216580845430211,0.6732746031325636,0.00010495507185881436,357,199,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.8151127033236324
2,kalshi_leads_etf,-0.016232177851442257,-0.25216155879680013,0.8009161897762472,0.0001342543751989833,332,185,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.8509734516372627
3,kalshi_leads_etf,0.043105704284592344,3.8487211654679485,0.0001187360673779913,0.0009704855222957276,312,177,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.0004037026290851704
4,kalshi_leads_etf,-0.0017792224932162805,-0.11918967045520819,0.905125090094603,1.71549025385076e-06,293,169,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.905125090094603
5,kalshi_leads_etf,-0.026595552048345388,-0.7973889010118098,0.4252252032424719,0.00039686992185250514,277,155,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.6024023712601685
6,kalshi_leads_etf,0.16204060226240816,12.282492927019499,1.124781041818061e-34,0.014056798208843757,263,147,event,30s,8,391,ELECTION_trump_fav,VCR,6,9.560638855453519e-34
7,kalshi_leads_etf,-0.10348320648068227,-5.684467302578267,1.3122102414442575e-08,0.006298484564564388,249,141,event,30s,8,391,ELECTION_trump_fav,VCR,6,7.435858034850792e-08
8,kalshi_leads_etf,0.024833917325977287,1.1007099020238955,0.27102293525240284,0.0003822577603078692,235,134,event,30s,8,391,ELECTION_trump_fav,VCR,6,0.5119322110323165
-8,etf_leads_kalshi,0.10599795600182439,5.173997755130199,2.29137577531822e-07,0.007791821229124585,95,51,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,1.947669409020487e-06
-7,etf_leads_kalshi,-0.011533044709387147,-0.18117708944619748,0.8562285769687041,8.9514037859173e-05,106,55,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.8562285769687041
-6,etf_leads_kalshi,-0.1399639014834131,-2.634558796390316,0.008424671139688788,0.011670842192387343,118,61,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.03580485234367735
-5,etf_leads_kalshi,-0.051420013749727045,-0.8639171335661664,0.3876334139552491,0.001511864430915888,132,68,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.5491473364366029
-4,etf_leads_kalshi,0.02421405116244159,0.603436070126395,0.5462186327165135,0.00031400100723988356,147,77,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.6632654825843378
-3,etf_leads_kalshi,-0.04891916300872154,-2.1615865915636476,0.030650055897343556,0.0011674093796215645,163,90,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.08804905138462933
-2,etf_leads_kalshi,0.02535568254565459,0.6645183166994192,0.5063586296525411,0.00028956035906047006,182,102,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.6621612849302461
-1,etf_leads_kalshi,0.2287162096207484,5.447897327777484,5.09687640591931e-08,0.020587118784166192,206,114,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,8.664689890062827e-07
