k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,mean_window_sec,x_ticker,y_ticker
9,x_leads_y,-0.03752357031014283,-22.025063079862154,1.65678640730993e-107,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
10,x_leads_y,-0.060534292038579796,-30.37099996653392,1.327116489406895e-202,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-10,y_leads_x,0.00017230131966244205,0.012478563088936835,0.9900438055583709,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-9,y_leads_x,0.007914210321249084,1.1443846991241637,0.2524641309072997,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-8,y_leads_x,0.018127773016490992,1.746298127452265,0.08075916109454435,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-7,y_leads_x,0.029864006850300506,1.4581377654562664,0.14480257368088345,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-6,y_leads_x,0.02572136884083989,1.3664469287130465,0.1717987277037485,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-5,y_leads_x,0.027273476254456426,1.3536097649109493,0.1758609098983518,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-4,y_leads_x,0.0354932996845797,0.9647082843944024,0.3346909446509121,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-3,y_leads_x,-0.005345412355474545,-0.5261325466183578,0.5987961166197877,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-2,y_leads_x,-0.005052171833409495,-0.4682104967015782,0.6396340664853757,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-1,y_leads_x,-0.014701412345695063,-0.8000723655831529,0.42366887098414663,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
0,contemporaneous,0.007938189438454405,0.2598943292982911,0.7949452855805877,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
1,x_leads_y,0.012528177055536226,0.6166750396753322,0.5374490880011941,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
2,x_leads_y,-0.001481464723684667,-3.694055606383639,0.00022070550522990863,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
3,x_leads_y,0.014801086588362817,1.1999700377748925,0.23015097714519472,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
4,x_leads_y,-0.011643108652952984,-9.006689028235785,2.1237121079873832e-19,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
5,x_leads_y,-0.01274739347595305,-0.623838941248637,0.5327333628091652,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
6,x_leads_y,0.011740556032352934,1.3742205191927273,0.16937323239902824,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
7,x_leads_y,0.022262827644661837,2.2666109709001825,0.023414001304399547,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
8,x_leads_y,0.0038727715771628836,0.19725413927177735,0.8436286657558552,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
9,x_leads_y,-0.010386455168684063,-0.2972420826115292,0.7662816956328403,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
10,x_leads_y,-0.013766363811139711,-0.5446724602027405,0.5859788090738033,0.5338810432876646,90,2,,KXECDJT281,KXECKH276
-10,y_leads_x,-6.452280593058815e-05,-1.4756917860438215,0.14002665202074646,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
-9,y_leads_x,-0.0005815291480031285,-1.5066522183159665,0.13189982510436546,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
-8,y_leads_x,-0.0002777984368482238,-0.2153945259565069,0.8294597375051471,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
-7,y_leads_x,-0.00033471454582459544,-1.1832416970334092,0.23671337198452813,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
-6,y_leads_x,8.562565913293544e-05,0.2705354619912411,0.7867483389314007,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
-5,y_leads_x,-0.0004571992874143067,-1.188599841465798,0.23459717029639993,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
-4,y_leads_x,-0.0003481557120537292,-2.7927308538922304,0.005226515883672732,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
-3,y_leads_x,0.00043701691415878906,2.833133425412939,0.004609414192302309,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
