k_lag,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,n_members_used,n_params,n_active,n_ylags,group,etf,mode,K_chosen,n_active_events,n_members,p_fdr
-1,etf_leads_kalshi,-0.00011641764820020149,-2.030637275242425,0.042291803543768,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.444063937209564
0,contemp,-3.926998057782887e-05,-0.5556603506269507,0.5784430663392057,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.8338682483114042
1,kalshi_leads_etf,3.258646839455627e-05,0.8439129688202639,0.3987180406226366,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.7152478335445099
2,kalshi_leads_etf,-8.732524174430266e-06,-0.2607958245790233,0.7942499645565786,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.9602096392066185
3,kalshi_leads_etf,2.333223062904348e-06,0.05560068301155642,0.9556599203838368,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.9786171617891177
4,kalshi_leads_etf,1.9655069090205203e-05,0.5307093909892362,0.5956201773652887,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.8338682483114042
5,kalshi_leads_etf,-3.407346392105728e-05,-1.0182577864478979,0.3085554639267779,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.6479664742462337
6,kalshi_leads_etf,-1.1451172118398374e-05,-0.37406534344421194,0.7083557019874708,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.9297168588585555
7,kalshi_leads_etf,-2.6748502227834714e-05,-1.2288289081780746,0.2191359604824642,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.5891197887624088
8,kalshi_leads_etf,-3.891620885090369e-05,-1.3262301175141948,0.18476348620018013,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.5891197887624088
9,kalshi_leads_etf,-2.022555550246922e-05,-0.7949851607027049,0.42662213419218964,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.7152478335445099
10,kalshi_leads_etf,3.300066828793526e-05,1.275387087199681,0.2021722668642174,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.5891197887624088
-10,etf_leads_kalshi,-7.094278953692557e-05,-1.0690752763209428,0.285035751146684,0.06943983478765048,566,26,3,25,343,1,FOMC_easing,VFH,event,10,1905,5,0.8014489559410428
