k_lag,direction,beta,z_stat,p_value,pseudo_r2,n_obs,n_up,mode,bar,K_chosen,n_total,group,etf,n_members,p_fdr
-3,etf_leads_kalshi,-0.004151193620140887,-0.07647328672625776,0.9390425658306287,8.449622193151818e-06,178,109,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.9822376033240523
-2,etf_leads_kalshi,-0.07363898676453988,-2.3845868153484497,0.01709831316044207,0.0025444951821050887,198,119,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.05813426474550303
-1,etf_leads_kalshi,-0.11277157973023547,-2.5182411040786237,0.011794255500098126,0.006304411422865308,223,130,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.05012558587541704
0,contemp,-0.02128202913633344,-0.72476703609866,0.46859496172615633,0.00020735930382909107,257,146,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.5690081678103327
1,kalshi_leads_etf,0.0557543606086161,1.5965663403653438,0.11036240693248209,0.001480975762312542,223,128,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.23452011473152443
2,kalshi_leads_etf,0.07096323284439594,3.3170740334159254,0.0009096550888560782,0.0023944851695681946,198,112,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.005154712170184443
3,kalshi_leads_etf,0.09209475105592231,1.2348086052840872,0.2169017439787817,0.00429322776948049,178,102,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.33521178614902625
4,kalshi_leads_etf,0.0007226085561473732,0.022263701980357598,0.9822376033240523,2.94784547105742e-07,160,94,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.9822376033240523
5,kalshi_leads_etf,-0.03701160554768213,-0.6314710947771152,0.5277325432243225,0.0008029574143136875,144,85,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.5980968823208989
6,kalshi_leads_etf,0.0743270118653401,2.0178855439329997,0.04360318294149441,0.003035885770199198,129,77,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.12354235166756748
7,kalshi_leads_etf,-0.07476145679650897,-0.7822815492365466,0.4340491277506072,0.002415736799224466,116,66,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.5676027055200249
8,kalshi_leads_etf,-0.04159841669977603,-1.0049732013719215,0.31490975415703626,0.000796034872805218,104,57,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.446122151722468
-8,etf_leads_kalshi,-0.012887498441245194,-0.3451083384300295,0.7300129249619239,0.00010777162335107171,130,80,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.8579166157779079
-7,etf_leads_kalshi,-0.006418705256703372,-0.17902685412836067,0.8579166157779079,2.4439736612036356e-05,142,88,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.8579166157779079
-6,etf_leads_kalshi,0.045589731970797104,0.5309323880396312,0.5954656329114691,0.001202843236842388,156,95,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.8579166157779079
-5,etf_leads_kalshi,0.06916155345788287,1.872287175295339,0.061166884074731594,0.0026454750747972877,171,104,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.18497297659151424
-4,etf_leads_kalshi,-0.0472304780575759,-3.9410947696293586,8.11105701677683e-05,0.0011144982941443393,187,115,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.0006894398464260306
-3,etf_leads_kalshi,-0.008054129886876133,-0.25312994940273564,0.8001677960610922,3.092235270463206e-05,205,126,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.8579166157779079
-2,etf_leads_kalshi,-0.05198676986892978,-1.0696166912889342,0.28479187896165636,0.001238451969352905,225,134,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.537940215816462
-1,etf_leads_kalshi,-0.0702647015290429,-1.8433043939528306,0.06528457997347561,0.002451599923556702,250,147,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.18497297659151424
0,contemp,0.007900900277030597,0.21187359965878674,0.8322056474334382,2.8678425561423637e-05,286,167,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.8579166157779079
1,kalshi_leads_etf,0.02623975117483042,0.41993459077591144,0.674533237448826,0.0003377601759834148,250,145,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.8579166157779079
2,kalshi_leads_etf,-0.11354789545189667,-1.96957034703271,0.04888763289010136,0.006015562948240127,225,126,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.18497297659151424
3,kalshi_leads_etf,0.16372745983841386,7.4598606335969535,8.661404575387265e-14,0.012264442997459657,205,116,event,event(active),8,289,ELECTION_trump_fav,VDE,6,1.472438777815835e-12
