k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,etf,bar_freq
-6,y_leads_x,-4.0589167606771243e-07,-0.5913524499555353,0.5542842932893202,0.06650734520713586,61433,17,VDC,5s
-5,y_leads_x,-6.163420053240683e-07,-1.5174578992292087,0.12915111524022596,0.06650734520713586,61433,17,VDC,5s
-4,y_leads_x,1.593945946763464e-06,2.8363657697595714,0.004563015465157194,0.06650734520713586,61433,17,VDC,5s
-3,y_leads_x,1.3396032415361982e-06,1.845620433089117,0.06494733751819466,0.06650734520713586,61433,17,VDC,5s
-2,y_leads_x,2.8597952882295887e-06,7.537328737839586,4.796959947336509e-14,0.06650734520713586,61433,17,VDC,5s
-1,y_leads_x,1.0428247631126871e-05,16.65640396157177,2.7188817157729975e-62,0.06650734520713586,61433,17,VDC,5s
1,x_leads_y,1.0461377304361694e-05,17.10340163556449,1.3998972026408823e-65,0.06650734520713586,61433,17,VDC,5s
2,x_leads_y,2.7573794259850865e-06,7.395791360453516,1.405685726314502e-13,0.06650734520713586,61433,17,VDC,5s
3,x_leads_y,1.3361594471461356e-06,1.8877523512701908,0.0590592046702537,0.06650734520713586,61433,17,VDC,5s
4,x_leads_y,1.718043082699162e-06,3.068565543395727,0.002150891402479532,0.06650734520713586,61433,17,VDC,5s
5,x_leads_y,-4.93334690078598e-07,-1.0222259986681874,0.3066739483960649,0.06650734520713586,61433,17,VDC,5s
6,x_leads_y,-3.927008301873024e-07,-0.5688860007620702,0.5694335063252899,0.06650734520713586,61433,17,VDC,5s
7,x_leads_y,-6.393158223184133e-12,-1.0879458526705576e-05,0.9999913194480118,0.06650734520713586,61433,17,VDC,5s
8,x_leads_y,-7.328230673726682e-07,-2.104335724303665,0.035349171896843966,0.06650734520713586,61433,17,VDC,5s
9,x_leads_y,7.937232901036307e-07,1.4751041471931003,0.1401845456611081,0.06650734520713586,61433,17,VDC,5s
10,x_leads_y,2.607633769009095e-07,0.6546378637437749,0.512700939790714,0.06650734520713586,61433,17,VDC,5s
-10,y_leads_x,1.9334391361049314e-07,0.4553121197333488,0.648884708236146,0.0018421851269810885,140422,34,VFH,5s
-9,y_leads_x,-2.3508688268165028e-07,-0.5691482889525058,0.5692555101162413,0.0018421851269810885,140422,34,VFH,5s
-8,y_leads_x,2.1639353152364706e-07,0.3702892431455492,0.7111669878381408,0.0018421851269810885,140422,34,VFH,5s
-7,y_leads_x,2.2606857566546792e-07,0.3230254478954835,0.7466759696819785,0.0018421851269810885,140422,34,VFH,5s
-6,y_leads_x,6.739002039343561e-07,1.3309875257724992,0.18319311550212125,0.0018421851269810885,140422,34,VFH,5s
-5,y_leads_x,4.5840460341484275e-07,1.1707130107502122,0.24171415367870264,0.0018421851269810885,140422,34,VFH,5s
-4,y_leads_x,-4.090241679037022e-07,-1.0490050817964576,0.294175779541593,0.0018421851269810885,140422,34,VFH,5s
-3,y_leads_x,-2.1812655518166095e-06,-4.924894159798528,8.440602748380012e-07,0.0018421851269810885,140422,34,VFH,5s
-2,y_leads_x,-5.494301279364688e-07,-1.0525859959549315,0.2925307782159202,0.0018421851269810885,140422,34,VFH,5s
-1,y_leads_x,-2.857314148284766e-08,-0.0515691357743266,0.9588720126879072,0.0018421851269810885,140422,34,VFH,5s
1,x_leads_y,-6.191114663577064e-08,-0.1170793890827635,0.9067971425237166,0.0018421851269810885,140422,34,VFH,5s
2,x_leads_y,-6.711609381263146e-07,-1.1701836836428159,0.2419270575118465,0.0018421851269810885,140422,34,VFH,5s
3,x_leads_y,-2.1662534435884466e-06,-5.684420167721328,1.3125721718322163e-08,0.0018421851269810885,140422,34,VFH,5s
4,x_leads_y,-4.0912019711506903e-07,-1.1064935558020481,0.26851295173187617,0.0018421851269810885,140422,34,VFH,5s
5,x_leads_y,4.7155675938806504e-07,1.2479574975294394,0.21204662251440298,0.0018421851269810885,140422,34,VFH,5s
6,x_leads_y,6.778372168382804e-07,1.2873933306276455,0.19795722775716718,0.0018421851269810885,140422,34,VFH,5s
7,x_leads_y,2.3849989046308964e-07,0.3302374939230657,0.7412205184226293,0.0018421851269810885,140422,34,VFH,5s
8,x_leads_y,1.2440225423319026e-07,0.21445847675157548,0.8301895443890227,0.0018421851269810885,140422,34,VFH,5s
9,x_leads_y,-1.709998446162157e-07,-0.42711850235445165,0.6692930171578582,0.0018421851269810885,140422,34,VFH,5s
10,x_leads_y,-9.289955282494933e-07,-3.221519906154541,0.0012751260420254366,0.0018421851269810885,140422,34,VFH,5s
-10,y_leads_x,1.5568399875237863e-06,2.4610307388407295,0.013853849597872074,0.06881891751107305,49341,11,VCR,5s
-9,y_leads_x,-4.2805817996624436e-08,-0.04896721307331441,0.9609454247582797,0.06881891751107305,49341,11,VCR,5s
-8,y_leads_x,-1.6316662343269176e-08,-0.0213372002141272,0.9829766691075084,0.06881891751107305,49341,11,VCR,5s
-7,y_leads_x,-5.659627050159587e-07,-0.7512650486043185,0.4524931593095254,0.06881891751107305,49341,11,VCR,5s
-6,y_leads_x,2.400661255559251e-06,3.3576100594071083,0.0007861943743630532,0.06881891751107305,49341,11,VCR,5s
-5,y_leads_x,2.8277759144480986e-06,3.6397719614810544,0.00027287959500835364,0.06881891751107305,49341,11,VCR,5s
-4,y_leads_x,-1.9483581657197827e-07,-0.24622874012689938,0.8055051688917608,0.06881891751107305,49341,11,VCR,5s
-3,y_leads_x,1.5963612719469308e-06,1.730628545465561,0.08351803703778808,0.06881891751107305,49341,11,VCR,5s
-2,y_leads_x,3.0189682587236716e-06,1.6421171109948225,0.10056573622766271,0.06881891751107305,49341,11,VCR,5s
-1,y_leads_x,1.9345080962141896e-05,15.681887608013826,2.0118548170830955e-55,0.06881891751107305,49341,11,VCR,5s
1,x_leads_y,1.923396468140867e-05,15.149278799740012,7.660258033719836e-52,0.06881891751107305,49341,11,VCR,5s
2,x_leads_y,3.0858419037056757e-06,1.6806832505108025,0.09282445568436412,0.06881891751107305,49341,11,VCR,5s
3,x_leads_y,1.5876541840750798e-06,1.741569642119534,0.08158377728662007,0.06881891751107305,49341,11,VCR,5s
4,x_leads_y,-4.2045319513879697e-07,-0.4965802257965859,0.6194851004477059,0.06881891751107305,49341,11,VCR,5s
5,x_leads_y,2.725263243741094e-06,3.814817582205858,0.00013628356843571764,0.06881891751107305,49341,11,VCR,5s
6,x_leads_y,2.437627690007218e-06,3.6350194639631135,0.00027795964917432556,0.06881891751107305,49341,11,VCR,5s
7,x_leads_y,-5.769609818914601e-07,-0.8017761983063584,0.4226824292241451,0.06881891751107305,49341,11,VCR,5s
8,x_leads_y,1.9899706460566818e-08,0.027335803164701192,0.9781919007345377,0.06881891751107305,49341,11,VCR,5s
9,x_leads_y,-2.1109529736819672e-07,-0.22130389297748576,0.8248558189729598,0.06881891751107305,49341,11,VCR,5s
10,x_leads_y,2.1060160186430756e-06,2.016205675570592,0.043778473201033265,0.06881891751107305,49341,11,VCR,5s
-10,y_leads_x,8.218243751198523e-07,1.4281287230831525,0.15325481149104722,0.05851269108072821,84906,19,VCR,5s
-9,y_leads_x,-2.5397641280855357e-07,-0.4165789581336697,0.6769864029090696,0.05851269108072821,84906,19,VCR,5s
-8,y_leads_x,2.2253834317276172e-07,0.4085679212043408,0.6828567761363686,0.05851269108072821,84906,19,VCR,5s
-7,y_leads_x,-3.3521858498398913e-07,-0.6378141621964928,0.5235946594781193,0.05851269108072821,84906,19,VCR,5s
-6,y_leads_x,1.7942906775706616e-06,3.271702021832037,0.0010690218201215948,0.05851269108072821,84906,19,VCR,5s
