k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,x_etf,y_etf,bar_freq
-5,y_leads_x,1.7018086724909906e-06,2.234020384365531,0.025481731845736776,0.36662747205309976,60260,15,VIS,VCR,5s
-4,y_leads_x,-1.0523321954587194e-07,-0.1844103150917576,0.8536915783191121,0.36662747205309976,60260,15,VIS,VCR,5s
-3,y_leads_x,2.0430471712653768e-07,0.38385112666574617,0.7010887917529881,0.36662747205309976,60260,15,VIS,VCR,5s
-2,y_leads_x,2.20128424427181e-06,2.926723450866097,0.0034255333095462234,0.36662747205309976,60260,15,VIS,VCR,5s
-1,y_leads_x,1.07807778680397e-05,5.970360912080168,2.367293225899838e-09,0.36662747205309976,60260,15,VIS,VCR,5s
0,contemporaneous,6.101949022630441e-05,9.15397023914628,5.487869336198649e-20,0.36662747205309976,60260,15,VIS,VCR,5s
1,x_leads_y,9.153160080667726e-06,3.5605773795260944,0.000370040243617641,0.36662747205309976,60260,15,VIS,VCR,5s
2,x_leads_y,7.334884406644974e-07,0.46023908812117276,0.645344617128238,0.36662747205309976,60260,15,VIS,VCR,5s
3,x_leads_y,4.989882934267646e-07,1.1618834276018508,0.2452828196715695,0.36662747205309976,60260,15,VIS,VCR,5s
4,x_leads_y,-3.949104142370079e-07,-0.6248967884787398,0.5320388002677509,0.36662747205309976,60260,15,VIS,VCR,5s
5,x_leads_y,8.518048867546705e-07,1.8664301951469244,0.06198120185440886,0.36662747205309976,60260,15,VIS,VCR,5s
6,x_leads_y,6.449202229792716e-08,0.10427269135655524,0.9169529488955367,0.36662747205309976,60260,15,VIS,VCR,5s
7,x_leads_y,-7.509707335062006e-07,-1.5276957838236276,0.12658808742244457,0.36662747205309976,60260,15,VIS,VCR,5s
8,x_leads_y,3.3892629004554927e-07,0.47480553762862904,0.6349255856074361,0.36662747205309976,60260,15,VIS,VCR,5s
9,x_leads_y,-3.262531984600394e-07,-0.5200596962882174,0.603021968320774,0.36662747205309976,60260,15,VIS,VCR,5s
10,x_leads_y,4.296033466945465e-07,0.5504260561203274,0.5820271811650014,0.36662747205309976,60260,15,VIS,VCR,5s
-10,y_leads_x,3.547860128110188e-07,0.6842267016757093,0.4938320236649558,0.22708207992811802,60260,15,VIS,VOX,5s
-9,y_leads_x,3.618007429522942e-07,0.7810332964563212,0.43478291162443594,0.22708207992811802,60260,15,VIS,VOX,5s
-8,y_leads_x,-7.329392307550225e-07,-1.2058379655753175,0.2278799735953071,0.22708207992811802,60260,15,VIS,VOX,5s
-7,y_leads_x,-8.740882371248484e-07,-1.71685185367642,0.08600624376722195,0.22708207992811802,60260,15,VIS,VOX,5s
-6,y_leads_x,1.0271002391595302e-06,1.4290754577545222,0.15298254656210802,0.22708207992811802,60260,15,VIS,VOX,5s
-5,y_leads_x,1.5774460344154991e-06,2.073312897273488,0.03814316918692004,0.22708207992811802,60260,15,VIS,VOX,5s
-4,y_leads_x,-1.261241721737383e-06,-2.066902635859559,0.03874332932776257,0.22708207992811802,60260,15,VIS,VOX,5s
-3,y_leads_x,-2.806162123427695e-07,-0.43351749835965486,0.6646388565668069,0.22708207992811802,60260,15,VIS,VOX,5s
-2,y_leads_x,1.1301867452357783e-06,1.8195106200934776,0.06883356406406545,0.22708207992811802,60260,15,VIS,VOX,5s
-1,y_leads_x,1.086503563164283e-05,5.741639274384792,9.376439437491192e-09,0.22708207992811802,60260,15,VIS,VOX,5s
0,contemporaneous,5.349636413327035e-05,10.204649080925943,1.8900313484111224e-24,0.22708207992811802,60260,15,VIS,VOX,5s
1,x_leads_y,-4.108389109565821e-06,-2.055508919623571,0.039829875032374173,0.22708207992811802,60260,15,VIS,VOX,5s
2,x_leads_y,-3.8099618059469686e-06,-5.501629068615489,3.762979882152758e-08,0.22708207992811802,60260,15,VIS,VOX,5s
3,x_leads_y,-2.187364588413936e-06,-2.423775758603437,0.01536008673090427,0.22708207992811802,60260,15,VIS,VOX,5s
4,x_leads_y,-1.3008696528362042e-06,-1.4743969056160817,0.1403747571238171,0.22708207992811802,60260,15,VIS,VOX,5s
5,x_leads_y,2.27733896716034e-07,0.3995272394153677,0.6895047569058484,0.22708207992811802,60260,15,VIS,VOX,5s
6,x_leads_y,-5.620063474461724e-07,-0.8219286073351159,0.41111753033494725,0.22708207992811802,60260,15,VIS,VOX,5s
7,x_leads_y,-9.001460020032351e-08,-0.150834292935137,0.8801064338827677,0.22708207992811802,60260,15,VIS,VOX,5s
8,x_leads_y,-9.98791139943974e-07,-1.3156291445631045,0.1882985465623812,0.22708207992811802,60260,15,VIS,VOX,5s
9,x_leads_y,-7.451585772984553e-08,-0.1060624501078266,0.9155328035230839,0.22708207992811802,60260,15,VIS,VOX,5s
10,x_leads_y,4.872769832525615e-07,1.1161732684178816,0.2643479745336156,0.22708207992811802,60260,15,VIS,VOX,5s
-10,y_leads_x,3.3225627036167614e-07,0.5611131308719335,0.574720417256211,0.15212366103689245,69802,15,VGT,VAW,5s
-9,y_leads_x,8.871034896432976e-07,3.211758224214782,0.0013192535042243687,0.15212366103689245,69802,15,VGT,VAW,5s
-8,y_leads_x,1.8872868639210002e-07,0.30296679744211774,0.7619151649299583,0.15212366103689245,69802,15,VGT,VAW,5s
-7,y_leads_x,-4.314577315640138e-08,-0.10013126885037617,0.9202401111211251,0.15212366103689245,69802,15,VGT,VAW,5s
-6,y_leads_x,7.933763955706839e-07,1.6269216632189811,0.10375373638738154,0.15212366103689245,69802,15,VGT,VAW,5s
-5,y_leads_x,1.608199420577709e-07,0.42537238658288234,0.6705652324633179,0.15212366103689245,69802,15,VGT,VAW,5s
-4,y_leads_x,2.1544360661826765e-07,0.5257380075605421,0.5990702522065179,0.15212366103689245,69802,15,VGT,VAW,5s
-3,y_leads_x,7.579089344023866e-07,1.1396185887689472,0.2544452375339936,0.15212366103689245,69802,15,VGT,VAW,5s
-2,y_leads_x,6.913452596163556e-07,2.089183835644934,0.036691177933454264,0.15212366103689245,69802,15,VGT,VAW,5s
-1,y_leads_x,2.0672188431418633e-06,4.332116250270989,1.4768292458700359e-05,0.15212366103689245,69802,15,VGT,VAW,5s
0,contemporaneous,3.076775412028967e-05,4.981833300491852,6.298468372341734e-07,0.15212366103689245,69802,15,VGT,VAW,5s
1,x_leads_y,1.5009570705027237e-05,5.809777231288955,6.255602486021531e-09,0.15212366103689245,69802,15,VGT,VAW,5s
