k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,x_ticker,y_ticker,bar_freq
-8,y_leads_x,0.006810544597641636,0.27216525723970486,0.7854949545114707,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
-7,y_leads_x,0.025345607071725017,0.6804305410527197,0.49623188833022336,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
-6,y_leads_x,0.040190389273395785,0.6404469164726437,0.5218820895832244,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
-5,y_leads_x,0.06225531350964137,0.8042199644642684,0.4212699507331916,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
-4,y_leads_x,0.06412653416780341,0.7239362916655921,0.4691048482370639,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
-3,y_leads_x,0.05016070491080878,0.5599271716287577,0.5755291143296163,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
-2,y_leads_x,0.05291355632941271,0.5656278977514222,0.5716467590433052,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
-1,y_leads_x,0.06491054780705809,0.62754876237682,0.5302995829112525,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
0,contemporaneous,0.06084478681105931,0.6484575910840199,0.5166890317112838,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
1,x_leads_y,0.0573766693331376,0.707117059900588,0.4794937350879699,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
2,x_leads_y,0.06583755656477074,0.9152368243422826,0.3600673166410596,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
3,x_leads_y,0.04013763948684255,0.7485607567026583,0.4541219925210904,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
4,x_leads_y,0.04155953147323139,0.8948256498282712,0.3708802965703558,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
5,x_leads_y,0.05367167572789375,1.0647900481320278,0.28697094964423076,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
6,x_leads_y,0.03901440191467794,0.7563369354564556,0.449447208438546,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
7,x_leads_y,0.03121880732926074,0.6834602789034369,0.4943160414317205,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
8,x_leads_y,0.017484969626719644,0.45503037175933647,0.6490873888025995,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
9,x_leads_y,0.006163614703146858,0.21357118294623373,0.8308814735658145,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
10,x_leads_y,-0.008771361658632813,-0.7448090390626789,0.45638716972578475,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
