contract_ticker,etf,mode,bar_freq,bar_sec,is_primary_bar,median_intertrade_sec,K_chosen,k_lag,direction,coef,t_stat,p_value,p_fdr,r_squared,n_obs,n_days,n_params,n_active,n_ylags,n_active_bars,r2_daily_screen,contract_title
KXECKH276,VIS,calendar,30s,30,False,539.5,3,-3,etf_leads_kalshi,-5.448733591371654e-07,-6.111026536953873,9.899230200841584e-10,1.1549101900981848e-09,0.09738654120903001,2928,6,14,12,1,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,30s,30,False,539.5,3,-2,etf_leads_kalshi,-4.012555822115276e-06,-46.5740421494028,0.0,0.0,0.09738654120903001,2928,6,14,12,1,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,30s,30,False,539.5,3,-1,etf_leads_kalshi,-7.226419108248257e-07,-6.019110404608926,1.7537822502261177e-09,1.7537822502261177e-09,0.09738654120903001,2928,6,14,12,1,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,30s,30,False,539.5,3,0,contemp,-3.1417048230585987e-06,-55.21715672767522,0.0,0.0,0.09738654120903001,2928,6,14,12,1,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,30s,30,False,539.5,3,1,kalshi_leads_etf,3.3697381144043685e-06,37.12872121390756,9.668008300844599e-302,1.6919014526478048e-301,0.09738654120903001,2928,6,14,12,1,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,30s,30,False,539.5,3,2,kalshi_leads_etf,-2.254114574158495e-06,-39.74259427891645,0.0,0.0,0.09738654120903001,2928,6,14,12,1,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,30s,30,False,539.5,3,3,kalshi_leads_etf,-1.0187065902129736e-06,-6.285828249432032,3.261103231391303e-10,4.5655445239478244e-10,0.09738654120903001,2928,6,14,12,1,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,1min,60,False,539.5,3,-3,etf_leads_kalshi,-4.347253084880246e-06,-10.924466534862406,8.805630421790595e-28,2.0546470984178055e-27,0.07241778565651291,1445,6,15,12,2,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,1min,60,False,539.5,3,-2,etf_leads_kalshi,2.3557042297463747e-06,7.75068957870596,9.139486006108128e-15,1.2795280408551379e-14,0.07241778565651291,1445,6,15,12,2,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,1min,60,False,539.5,3,-1,etf_leads_kalshi,-1.0806932670310803e-06,-4.99593653608907,5.85509149307198e-07,5.85509149307198e-07,0.07241778565651291,1445,6,15,12,2,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,1min,60,False,539.5,3,0,contemp,-1.328633022421716e-05,-82.30438999453717,0.0,0.0,0.07241778565651291,1445,6,15,12,2,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,1min,60,False,539.5,3,1,kalshi_leads_etf,2.7270784392403104e-06,6.941004571011376,3.893214141820185e-12,4.542083165456883e-12,0.07241778565651291,1445,6,15,12,2,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,1min,60,False,539.5,3,2,kalshi_leads_etf,-3.8482176377092175e-06,-10.483773123824415,1.0256819392765883e-25,1.7949433937340296e-25,0.07241778565651291,1445,6,15,12,2,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,1min,60,False,539.5,3,3,kalshi_leads_etf,-1.5957933140949618e-06,-13.359137393273537,1.047712205999795e-40,3.6669927209992826e-40,0.07241778565651291,1445,6,15,12,2,12,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,10min,600,True,539.5,3,-3,etf_leads_kalshi,9.38348835841519e-05,17.184276838619937,3.4826257351171695e-66,4.875676029164037e-66,0.09264324068048968,110,6,13,7,0,11,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,10min,600,True,539.5,3,-2,etf_leads_kalshi,4.397498546612604e-05,15.327129906774397,5.037581755327969e-53,5.877178714549298e-53,0.09264324068048968,110,6,13,7,0,11,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,10min,600,True,539.5,3,-1,etf_leads_kalshi,-8.886928805159136e-06,-5.465088068216042,4.626770374157604e-08,4.626770374157604e-08,0.09264324068048968,110,6,13,7,0,11,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,10min,600,True,539.5,3,0,contemp,-8.159919707537501e-05,-60.07260891721047,0.0,0.0,0.09264324068048968,110,6,13,7,0,11,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
